State,Race,Value
Vermont,O,0.023
Virginia,W,0.596
Virginia,B,0.189
Virginia,H,0.118
Virginia,A,0.065
Virginia,N,N/A
Virginia,O,0.025
Washington,W,0.667
Washington,B,0.04
Washington,H,0.119
Washington,A,0.101
Washington,N,N/A
Washington,O,0.037
West Virginia,W,0.907
West Virginia,B,0.033
West Virginia,H,0.031
West Virginia,A,N/A
West Virginia,N,N/A
West Virginia,O,0.019
Wisconsin,W,0.822
Wisconsin,B,0.049
Wisconsin,H,0.083
Wisconsin,A,0.029
Wisconsin,N,N/A
Wisconsin,O,N/A
Wyoming,W,0.833
Wyoming,B,0.013
Wyoming,H,0.094
Wyoming,A,N/A
Wyoming,N,0.018
Wyoming,O,0.051
