"","State","Race","Value"
"210","North Carolina","O","0.025"
"211","North Dakota","W","0.855"
"212","North Dakota","B","0.031"
"213","North Dakota","H","0.032"
"214","North Dakota","A","0.024"
"215","North Dakota","N","0.043"
"216","North Dakota","O","N/A"
"217","Ohio","W","0.771"
"218","Ohio","B","0.114"
"219","Ohio","H","0.059"
"220","Ohio","A","0.022"
"221","Ohio","N","N/A"
"222","Ohio","O","0.029"
"223","Oklahoma","W","0.616"
"224","Oklahoma","B","0.074"
"225","Oklahoma","H","0.127"
"226","Oklahoma","A","0.024"
"227","Oklahoma","N","0.097"
"228","Oklahoma","O","0.154"
"229","Oregon","W","0.786"
"230","Oregon","B","0.022"
"231","Oregon","H","0.109"
"232","Oregon","A","0.038"
"233","Oregon","N","0.011"
"234","Oregon","O","0.038"
"235","Pennsylvania","W","0.75"
"236","Pennsylvania","B","0.115"
"237","Pennsylvania","H","0.07"
"238","Pennsylvania","A","0.043"
"239","Pennsylvania","N","N/A"
"240","Pennsylvania","O","0.016"
"241","Rhode Island","W","0.762"
"242","Rhode Island","B","0.064"
"243","Rhode Island","H","0.132"
"244","Rhode Island","A","N/A"
"245","Rhode Island","N","N/A"
"246","Rhode Island","O","N/A"
"247","South Carolina","W","0.629"
"248","South Carolina","B","0.261"
"249","South Carolina","H","0.071"
"250","South Carolina","A","0.017"
"251","South Carolina","N","N/A"
"252","South Carolina","O","0.017"
"253","South Dakota","W","0.863"
"254","South Dakota","B","0.025"
"255","South Dakota","H","0.03"
"256","South Dakota","A","N/A"
"257","South Dakota","N","0.056"
"258","South Dakota","O","0.072"
"259","Tennessee","W","0.731"
"260","Tennessee","B","0.158"
"261","Tennessee","H","0.075"
"262","Tennessee","A","0.016"
"263","Tennessee","N","N/A"
"264","Tennessee","O","0.016"
"265","Texas","W","0.411"
"266","Texas","B","0.124"
"267","Texas","H","0.388"
"268","Texas","A","0.054"
"269","Texas","N","0.004"
"270","Texas","O","0.022"
"271","Utah","W","0.776"
"272","Utah","B","0.014"
"273","Utah","H","0.14"
"274","Utah","A","0.024"
"275","Utah","N","N/A"
"276","Utah","O","0.014"
"277","Vermont","W","0.937"
"278","Vermont","B","0.013"
"279","Vermont","H","0.014"
"280","Vermont","A","0.011"
"281","Vermont","N","N/A"
"282","Vermont","O","0.023"
"283","Virginia","W","0.596"
"284","Virginia","B","0.189"
"285","Virginia","H","0.118"
"286","Virginia","A","0.065"
"287","Virginia","N","N/A"
"288","Virginia","O","0.025"
"289","Washington","W","0.667"
"290","Washington","B","0.04"
"291","Washington","H","0.119"
"292","Washington","A","0.101"
"293","Washington","N","N/A"
"294","Washington","O","0.037"
"295","West Virginia","W","0.907"
"296","West Virginia","B","0.033"
"297","West Virginia","H","0.031"
"298","West Virginia","A","N/A"
"299","West Virginia","N","N/A"
"300","West Virginia","O","0.019"
"301","Wisconsin","W","0.822"
"302","Wisconsin","B","0.049"
