"","year","state","race","TotalVictimsInStateByRace","Value","x"
"132",2020,"NH","W",4,1215300,0.329136838640665
"133",2020,"NJ","B",5,1174700,0.425640589086575
"134",2020,"NM","B",1,40500,2.46913580246914
"135",2020,"NV","B",5,287100,1.7415534656914
"136",2020,"NY","B",9,2575600,0.349433141792204
"137",2020,"OH","B",11,1446400,0.760508849557522
"138",2020,"OK","B",4,268300,1.49086843086098
"139",2020,"OR","H",2,460000,0.434782608695652
"140",2020,"PA","B",6,1359200,0.441436138905238
"141",2020,"SC","B",5,1315200,0.380170316301703
"142",2020,"TN","W",19,4931600,0.385270500446103
"143",2020,"TX","B",20,3514400,0.569087184156613
"144",2020,"UT","B",1,32600,3.06748466257669
"145",2020,"VA","O",1,191500,0.522193211488251
"146",2020,"WA","B",4,310100,1.28990648178007
"147",2020,"WI","B",5,293500,1.70357751277683
"148",2020,"WV","W",4,1577300,0.253597920497052
"149",2020,"WY","W",1,459800,0.217485863418878
"150",2021,"AK","W",3,422800,0.709555345316935
"151",2021,"AL","B",6,1306000,0.459418070444104
"152",2021,"AR","A",1,78600,1.27226463104326
"153",2021,"AZ","B",2,373000,0.536193029490617
"154",2021,"CA","B",15,2082800,0.720184367198003
"155",2021,"CO","B",1,239200,0.418060200668896
"156",2021,"CT","B",1,416300,0.240211386019697
"157",2021,"DC","B",3,294500,1.01867572156197
"158",2021,"DE","B",1,212900,0.469704086425552
"159",2021,"FL","B",15,3351700,0.44753408717964
"160",2021,"GA","B",14,3409600,0.410605349601126
"161",2021,"HI","B",1,20600,4.85436893203884
"162",2021,"IA","B",1,131000,0.763358778625954
"163",2021,"ID","W",7,1532800,0.456680584551148
"164",2021,"IL","B",10,1683100,0.594141762224467
"165",2021,"IN","B",3,664900,0.451195668521582
"166",2021,"KS","B",2,168800,1.18483412322275
"167",2021,"KY","B",3,354100,0.847218299915278
"168",2021,"LA","B",5,1447800,0.345351567896118
"169",2021,"MA","W",3,4772500,0.0628601361969618
"170",2021,"MD","B",10,1866800,0.535676023141204
"171",2021,"ME","W",2,1269100,0.157591994326688
"172",2021,"MI","B",5,1275200,0.392095357590966
"173",2021,"MN","B",3,407400,0.736377025036819
"174",2021,"MO","B",2,658400,0.303766707168894
"175",2021,"MS","B",9,1106400,0.813449023861171
"176",2021,"MT","W",1,975800,0.102480016396803
"177",2021,"NC","A",1,371100,0.269469145782808
"178",2021,"ND","N",1,32600,3.06748466257669
"179",2021,"NE","W",7,1512000,0.462962962962963
"180",2021,"NH","W",1,1247300,0.0801731740559609
"181",2021,"NJ","B",4,1227900,0.325759426663409
"182",2021,"NM","H",11,917800,1.19851819568533
"183",2021,"NV","W",2,1424800,0.140370578326783
"184",2021,"NY","B",2,2607300,0.0767077052889963
"185",2021,"OH","B",10,1340200,0.746157289956723
"186",2021,"OK","B",2,290700,0.687994496044032
"187",2021,"OR","B",1,91200,1.09649122807018
"188",2021,"PA","B",2,1447900,0.138131086400995
"189",2021,"SC","W",8,3277800,0.244066141924462
"190",2021,"SD","N",2,49200,4.0650406504065
"191",2021,"TN","B",11,1100600,0.999454842813011
"192",2021,"TX","B",14,3633200,0.385335241660244
"193",2021,"UT","B",1,46400,2.1551724137931
"194",2021,"VA","B",6,1599700,0.375070325686066
"195",2021,"WA","B",2,306200,0.653167864141084
"196",2021,"WI","B",2,286400,0.698324022346369
"197",2021,"WV","W",2,1597400,0.125203455615375
